"","Oeuvre","motifs","n","total","nrel","Balzac-Goriot.txt-ut8.txt","Flaubert-Bovary.txt-ut8.txt","Huysmans-Rebours.txt-ut8.txt"
"50","Huysmans-Rebours.txt-ut8.txt","ADJ NC de le NC",65,79201,0.000820696708374894,-2.2363,-2.9231,8.5912
"51","Huysmans-Rebours.txt-ut8.txt","le NC et de le",65,79201,0.000820696708374894,-4.3126,-2.7166,11.5413
"52","Huysmans-Rebours.txt-ut8.txt","NC , le NC de",65,79201,0.000820696708374894,-6.914,0.6502,4.8337
"53","Huysmans-Rebours.txt-ut8.txt","NC et de le NC",65,79201,0.000820696708374894,-3.9619,-1.8921,9.2519
"54","Balzac-Goriot.txt-ut8.txt","le NC de NP ,",64,110662,0.000578337640743887,0.6442,-0.6118,0.3312
"55","Flaubert-Bovary.txt-ut8.txt","de le NC , de",64,141162,0.000453379804763322,-5.9739,-0.6692,7.9367
"56","Huysmans-Rebours.txt-ut8.txt","le NC et le NC",62,79201,0.000782818398757591,-1.4763,-1.7772,5.0698
"57","Flaubert-Bovary.txt-ut8.txt","NC de le NC de",60,141162,0.000425043566965614,0.3641,-1.6385,1.6295
"58","Huysmans-Rebours.txt-ut8.txt","le ADJ NC de le",60,79201,0.000757566192346056,-2.28,-2.5086,7.8914
"59","Balzac-Goriot.txt-ut8.txt","NC de le NC de",59,110662,0.000533155012560771,0.3641,-1.6385,1.6295
"60","Flaubert-Bovary.txt-ut8.txt","NC de NC ADJ ,",58,141162,0.00041087544806676,-8.5768,2.9938,1.6644
"61","Huysmans-Rebours.txt-ut8.txt",", à le NC de",57,79201,0.000719687882728753,-5.9739,1.1098,3.0055
"62","Huysmans-Rebours.txt-ut8.txt","NC de NC et de",57,79201,0.000719687882728753,-8.9356,-3.7459,Inf
"63","Flaubert-Bovary.txt-ut8.txt","sur le NC de le",56,141162,0.000396707329167906,-2.7182,2.7069,-0.3554
"64","Flaubert-Bovary.txt-ut8.txt","de le NC , le",55,141162,0.00038962326971848,-4.606,0.3339,4.5604
"65","Flaubert-Bovary.txt-ut8.txt","le NC à le NC",55,141162,0.00038962326971848,-0.5352,0.3244,0.4883
"66","Flaubert-Bovary.txt-ut8.txt","NC , et le NC",55,141162,0.00038962326971848,-1.4317,4.6865,-2.7424
