"","mots","ngrammot","motifs","Oeuvre"
"982","apercevoir","apercevoir à le bout","INF à le NC","Balzac-Goriot"
"983","à","à le bout le","à le NC le","Balzac-Goriot"
"984","le","le bout le petit","le NC le ADJ","Balzac-Goriot"
"985","bout","bout le petit pavé","NC le ADJ NC","Balzac-Goriot"
"986","le","le petit pavé ,","le ADJ NC ,","Balzac-Goriot"
"987","petit","petit pavé , sur","ADJ NC , sur","Balzac-Goriot"
"988","pavé","pavé , sur le","NC , sur le","Balzac-Goriot"
"989",",",", sur le mur",", sur le NC","Balzac-Goriot"
"990","sur","sur le mur opposé","sur le NC PPAS","Balzac-Goriot"
"991","le","le mur opposé à","le NC PPAS à","Balzac-Goriot"
"992","mur","mur opposé à la","NC PPAS à le","Balzac-Goriot"
"993","opposé","opposé à la rue","PPAS à le NC","Balzac-Goriot"
"994","à","à la rue ,","à le NC ,","Balzac-Goriot"
"995","la","la rue , une","le NC , un","Balzac-Goriot"
"996","rue","rue , une arcade","NC , un NC","Balzac-Goriot"
"997",",",", une arcade peinte",", un NC ADJ","Balzac-Goriot"
"998","une","une arcade peinte en","un NC ADJ en","Balzac-Goriot"
"999","arcade","arcade peinte en marbre","NC ADJ en NC","Balzac-Goriot"
"1000","peinte","peinte en marbre par","ADJ en NC par","Balzac-Goriot"
"1001","en","en marbre par un","en NC par un","Balzac-Goriot"
"1002","marbre","marbre par un artiste","NC par un NC","Balzac-Goriot"
"1003","par","par un artiste le","par un NC le","Balzac-Goriot"
"1004","un","un artiste le quartier","un NC le NC","Balzac-Goriot"
"1005","artiste","artiste le quartier .","NC le NC .","Balzac-Goriot"
"1006","le","le quartier . Sous","le NC . sous","Balzac-Goriot"
"1007","quartier","quartier . Sous le","NC . sous le","Balzac-Goriot"
"1008",".",". Sous le renfoncement",". sous le NCABS","Balzac-Goriot"
"1009","Sous","Sous le renfoncement que","sous le NCABS que","Balzac-Goriot"
"1010","le","le renfoncement que simule","le NCABS que PRES","Balzac-Goriot"
"1011","renfoncement","renfoncement que simule cette","NCABS que PRES ce","Balzac-Goriot"
"1012","que","que simule cette peinture","que PRES ce NC","Balzac-Goriot"
"1013","simule","simule cette peinture ,","PRES ce NC ,","Balzac-Goriot"
"1014","cette","cette peinture , s’","ce NC , NP","Balzac-Goriot"
"1015","peinture","peinture , s’ élève","NC , NP PRES","Balzac-Goriot"
"1016",",",", s’ élève une",", NP PRES un","Balzac-Goriot"
"1017","s’","s’ élève une statue","NP PRES un NC","Balzac-Goriot"
"1018","élève","élève une statue représentant","PRES un NC NC","Balzac-Goriot"
"1019","une","une statue représentant l’","un NC NC NP","Balzac-Goriot"
"1020","statue","statue représentant l’ Amour","NC NC NP NCABS","Balzac-Goriot"
"1021","représentant","représentant l’ Amour .","NC NP NCABS .","Balzac-Goriot"
"1022","l’","l’ Amour . À","NP NCABS . à","Balzac-Goriot"
"1023","Amour","Amour . À voir","NCABS . à INF","Balzac-Goriot"
"1024",".",". À voir le",". à INF le","Balzac-Goriot"
"1025","À","À voir le vernis","à INF le NC","Balzac-Goriot"
"1026","voir","voir le vernis écaillé","INF le NC PPAS","Balzac-Goriot"
"1027","le","le vernis écaillé qui","le NC PPAS qui","Balzac-Goriot"
"1028","vernis","vernis écaillé qui la","NC PPAS qui le","Balzac-Goriot"
"1029","écaillé","écaillé qui la couvre","PPAS qui le NC","Balzac-Goriot"
"1030","qui","qui la couvre ,","qui le NC ,","Balzac-Goriot"
"1031","la","la couvre , les","le NC , le","Balzac-Goriot"
"1032","couvre","couvre , les amateurs","NC , le NC","Balzac-Goriot"
"1033",",",", les amateurs de",", le NC de","Balzac-Goriot"
"1034","les","les amateurs de symboles","le NC de NC","Balzac-Goriot"
"1035","amateurs","amateurs de symboles y","NC de NC y","Balzac-Goriot"
"1036","de","de symboles y découvriraient","de NC y VIMP","Balzac-Goriot"
"1037","symboles","symboles y découvriraient peut-être","NC y VIMP ADV","Balzac-Goriot"
"1038","y","y découvriraient peut-être un","y VIMP ADV un","Balzac-Goriot"
"1039","découvriraient","découvriraient peut-être un mythe","VIMP ADV un NC","Balzac-Goriot"
"1040","peut-être","peut-être un mythe de","ADV un NC de","Balzac-Goriot"
"1041","un","un mythe de l’","un NC de NP","Balzac-Goriot"
"1042","mythe","mythe de l’ amour","NC de NP NCABS","Balzac-Goriot"
"1043","de","de l’ amour parisien","de NP NCABS ADJ","Balzac-Goriot"
"1044","l’","l’ amour parisien qu’","NP NCABS ADJ NP","Balzac-Goriot"
"1045","amour","amour parisien qu’ on","NCABS ADJ NP on","Balzac-Goriot"
"1046","parisien","parisien qu’ on guérit","ADJ NP on VPS","Balzac-Goriot"
"1047","qu’","qu’ on guérit à","NP on VPS à","Balzac-Goriot"
"1048","on","on guérit à quelques","on VPS à quelque","Balzac-Goriot"
"1049","guérit","guérit à quelques pas","VPS à quelque pas","Balzac-Goriot"
"1050","à","à quelques pas de","à quelque pas de","Balzac-Goriot"
"1051","quelques","quelques pas de là","quelque pas de là","Balzac-Goriot"
"1052","pas","pas de là .","pas de là .","Balzac-Goriot"
"1053","de","de là . Sous","de là . sous","Balzac-Goriot"
"1054","là","là . Sous le","là . sous le","Balzac-Goriot"
"1055",".",". Sous le socle",". sous le NC","Balzac-Goriot"
"1056","Sous","Sous le socle ,","sous le NC ,","Balzac-Goriot"
"1057","le","le socle , cette","le NC , ce","Balzac-Goriot"
"1058","socle","socle , cette inscription","NC , ce NC","Balzac-Goriot"
"1059",",",", cette inscription à",", ce NC à","Balzac-Goriot"
"1060","cette","cette inscription à demi","ce NC à ADJ","Balzac-Goriot"
"1061","inscription","inscription à demi effacée","NC à ADJ NC","Balzac-Goriot"
"1062","à","à demi effacée rappelle","à ADJ NC PRES","Balzac-Goriot"
"1063","demi","demi effacée rappelle le","ADJ NC PRES le","Balzac-Goriot"
"1064","effacée","effacée rappelle le temps","NC PRES le NC","Balzac-Goriot"
"1065","rappelle","rappelle le temps à","PRES le NC à","Balzac-Goriot"
"1066","le","le temps à lequel","le NC à lequel","Balzac-Goriot"
"1067","temps","temps à lequel remonte","NC à lequel PRES","Balzac-Goriot"
"1068","à","à lequel remonte cet","à lequel PRES ce","Balzac-Goriot"
"1069","lequel","lequel remonte cet ornement","lequel PRES ce NC","Balzac-Goriot"
"1070","remonte","remonte cet ornement par","PRES ce NC par","Balzac-Goriot"
"1071","cet","cet ornement par l’","ce NC par NP","Balzac-Goriot"
"1072","ornement","ornement par l’ enthousiasme","NC par NP NCABS","Balzac-Goriot"
"1073","par","par l’ enthousiasme dont","par NP NCABS dont","Balzac-Goriot"
"1074","l’","l’ enthousiasme dont il","NP NCABS dont il","Balzac-Goriot"
"1075","enthousiasme","enthousiasme dont il témoigne","NCABS dont il PRES","Balzac-Goriot"
"1076","dont","dont il témoigne pour","dont il PRES pour","Balzac-Goriot"
"1077","il","il témoigne pour Voltaire","il PRES pour NP","Balzac-Goriot"
"1078","témoigne","témoigne pour Voltaire ,","PRES pour NP ,","Balzac-Goriot"
"1079","pour","pour Voltaire , rentré","pour NP , PPAS","Balzac-Goriot"
"1080","Voltaire","Voltaire , rentré dans","NP , PPAS dans","Balzac-Goriot"
"1081",",",", rentré dans Paris",", PPAS dans NP","Balzac-Goriot"
"1082","rentré","rentré dans Paris en","PPAS dans NP en","Balzac-Goriot"
"1083","dans","dans Paris en 1777","dans NP en NUM","Balzac-Goriot"
"1084","Paris","Paris en 1777 :","NP en NUM :","Balzac-Goriot"
"1085","en","en 1777 : Qui","en NUM : ADV","Balzac-Goriot"
"1086","1777","1777 : Qui que","NUM : ADV que","Balzac-Goriot"
"1087",":",": Qui que tu",": ADV que tu","Balzac-Goriot"
"1088","Qui","Qui que tu sois","ADV que tu ADJ","Balzac-Goriot"
"1089","que","que tu sois ,","que tu ADJ ,","Balzac-Goriot"
"1090","tu","tu sois , voici","tu ADJ , voici","Balzac-Goriot"
"1091","sois","sois , voici ton","ADJ , voici DETPOSS","Balzac-Goriot"
"1092",",",", voici ton maître",", voici DETPOSS NC","Balzac-Goriot"
"1093","voici","voici ton maître .","voici DETPOSS NC .","Balzac-Goriot"
"1094","ton","ton maître . Il","DETPOSS NC . il","Balzac-Goriot"
"1095","maître","maître . Il l’","NC . il NP","Balzac-Goriot"
"1096",".",". Il l’ est",". il NP être","Balzac-Goriot"
"1097","Il","Il l’ est ,","il NP être ,","Balzac-Goriot"
"1098","l’","l’ est , le","NP être , le","Balzac-Goriot"
"1099","est","est , le fut","être , le NC","Balzac-Goriot"
"1100",",",", le fut ,",", le NC ,","Balzac-Goriot"
"1101","le","le fut , ou","le NC , ou","Balzac-Goriot"
"1102","fut","fut , ou le","NC , ou le","Balzac-Goriot"
"1103",",",", ou le doit",", ou le PRES","Balzac-Goriot"
"1104","ou","ou le doit être","ou le PRES être","Balzac-Goriot"
"1105","le","le doit être .","le PRES être .","Balzac-Goriot"
"1106","doit","doit être . À","PRES être . à","Balzac-Goriot"
"1107","être","être . À la","être . à le","Balzac-Goriot"
"1108",".",". À la nuit",". à le NC","Balzac-Goriot"
"1109","À","À la nuit tombante","à le NC ADJ","Balzac-Goriot"
"1110","la","la nuit tombante ,","le NC ADJ ,","Balzac-Goriot"
"1111","nuit","nuit tombante , la","NC ADJ , le","Balzac-Goriot"
"1112","tombante","tombante , la porte","ADJ , le NC","Balzac-Goriot"
"1113",",",", la porte à",", le NC à","Balzac-Goriot"
"1114","la","la porte à claire-voie","le NC à NC","Balzac-Goriot"
"1115","porte","porte à claire-voie est","NC à NC être","Balzac-Goriot"
"1116","à","à claire-voie est remplacée","à NC être PPAS","Balzac-Goriot"
"1117","claire-voie","claire-voie est remplacée par","NC être PPAS par","Balzac-Goriot"
"1118","est","est remplacée par une","être PPAS par un","Balzac-Goriot"
"1119","remplacée","remplacée par une porte","PPAS par un NC","Balzac-Goriot"
"1120","par","par une porte pleine","par un NC ADJ","Balzac-Goriot"
"1121","une","une porte pleine .","un NC ADJ .","Balzac-Goriot"
"1122","porte","porte pleine . Le","NC ADJ . le","Balzac-Goriot"
"1123","pleine","pleine . Le jardinet","ADJ . le NC","Balzac-Goriot"
"1124",".",". Le jardinet ,",". le NC ,","Balzac-Goriot"
"1125","Le","Le jardinet , aussi","le NC , aussi","Balzac-Goriot"
"1126","jardinet","jardinet , aussi large","NC , aussi ADJ","Balzac-Goriot"
"1127",",",", aussi large que",", aussi ADJ que","Balzac-Goriot"
"1128","aussi","aussi large que la","aussi ADJ que le","Balzac-Goriot"
"1129","large","large que la façade","ADJ que le NC","Balzac-Goriot"
"1130","que","que la façade est","que le NC être","Balzac-Goriot"
"1131","la","la façade est longue","le NC être ADJ","Balzac-Goriot"
"1132","façade","façade est longue ,","NC être ADJ ,","Balzac-Goriot"
"1133","est","est longue , se","être ADJ , se","Balzac-Goriot"
"1134","longue","longue , se trouve","ADJ , se PRES","Balzac-Goriot"
"1135",",",", se trouve encaissé",", se PRES PPAS","Balzac-Goriot"
"1136","se","se trouve encaissé par","se PRES PPAS par","Balzac-Goriot"
"1137","trouve","trouve encaissé par le","PRES PPAS par le","Balzac-Goriot"
"1138","encaissé","encaissé par le mur","PPAS par le NC","Balzac-Goriot"
"1139","par","par le mur de","par le NC de","Balzac-Goriot"
"1140","le","le mur de la","le NC de le","Balzac-Goriot"
"1141","mur","mur de la rue","NC de le NC","Balzac-Goriot"
"1142","de","de la rue et","de le NC et","Balzac-Goriot"
"1143","la","la rue et par","le NC et par","Balzac-Goriot"
"1144","rue","rue et par le","NC et par le","Balzac-Goriot"
"1145","et","et par le mur","et par le NC","Balzac-Goriot"
"1146","par","par le mur mitoyen","par le NC ADJ","Balzac-Goriot"
"1147","le","le mur mitoyen de","le NC ADJ de","Balzac-Goriot"
"1148","mur","mur mitoyen de la","NC ADJ de le","Balzac-Goriot"
"1149","mitoyen","mitoyen de la maison","ADJ de le NC","Balzac-Goriot"
"1150","de","de la maison voisine","de le NC ADJ","Balzac-Goriot"
"1151","la","la maison voisine ,","le NC ADJ ,","Balzac-Goriot"
"1152","maison","maison voisine , le","NC ADJ , le","Balzac-Goriot"
"1153","voisine","voisine , le long","ADJ , le NC","Balzac-Goriot"
"1154",",",", le long de",", le NC de","Balzac-Goriot"
"1155","le","le long de laquelle","le NC de lequel","Balzac-Goriot"
"1156","long","long de laquelle pend","NC de lequel pendre","Balzac-Goriot"
"1157","de","de laquelle pend un","de lequel pendre un","Balzac-Goriot"
"1158","laquelle","laquelle pend un manteau","lequel pendre un NC","Balzac-Goriot"
"1159","pend","pend un manteau de","pendre un NC de","Balzac-Goriot"
"1160","un","un manteau de lierre","un NC de NC","Balzac-Goriot"
"1161","manteau","manteau de lierre qui","NC de NC qui","Balzac-Goriot"
"1162","de","de lierre qui la","de NC qui le","Balzac-Goriot"
"1163","lierre","lierre qui la cache","NC qui le PRES","Balzac-Goriot"
"1164","qui","qui la cache entièrement","qui le PRES ADVTOT","Balzac-Goriot"
"1165","la","la cache entièrement ,","le PRES ADVTOT ,","Balzac-Goriot"
"1166","cache","cache entièrement , et","PRES ADVTOT , et","Balzac-Goriot"
"1167","entièrement","entièrement , et attire","ADVTOT , et PRES","Balzac-Goriot"
"1168",",",", et attire les",", et PRES le","Balzac-Goriot"
"1169","et","et attire les yeux","et PRES le NCCOR","Balzac-Goriot"
"1170","attire","attire les yeux de","PRES le NCCOR de","Balzac-Goriot"
"1171","les","les yeux de les","le NCCOR de le","Balzac-Goriot"
"1172","yeux","yeux de les passants","NCCOR de le NC","Balzac-Goriot"
"1173","de","de les passants par","de le NC par","Balzac-Goriot"
"1174","les","les passants par un","le NC par un","Balzac-Goriot"
"1175","passants","passants par un effet","NC par un NC","Balzac-Goriot"
"1176","par","par un effet pittoresque","par un NC ADJ","Balzac-Goriot"
"1177","un","un effet pittoresque Paris","un NC ADJ NP","Balzac-Goriot"
"1178","effet","effet pittoresque Paris .","NC ADJ NP .","Balzac-Goriot"
"1179","pittoresque","pittoresque Paris . Chacun","ADJ NP . chacun","Balzac-Goriot"
"1180","Paris","Paris . Chacun de","NP . chacun de","Balzac-Goriot"
"1181",".",". Chacun de ces",". chacun de ce","Balzac-Goriot"
"1182","Chacun","Chacun de ces murs","chacun de ce NC","Balzac-Goriot"
"1183","de","de ces murs est","de ce NC être","Balzac-Goriot"
"1184","ces","ces murs est tapissé","ce NC être PPAS","Balzac-Goriot"
"1185","murs","murs est tapissé d’","NC être PPAS NP","Balzac-Goriot"
"1186","est","est tapissé d’ espaliers","être PPAS NP NUM","Balzac-Goriot"
"1187","tapissé","tapissé d’ espaliers et","PPAS NP NUM et","Balzac-Goriot"
"1188","d’","d’ espaliers et de","NP NUM et de","Balzac-Goriot"
"1189","espaliers","espaliers et de vignes","NUM et de NC","Balzac-Goriot"
"1190","et","et de vignes dont","et de NC dont","Balzac-Goriot"
"1191","de","de vignes dont les","de NC dont le","Balzac-Goriot"
"1192","vignes","vignes dont les fructifications","NC dont le NC","Balzac-Goriot"
"1193","dont","dont les fructifications grêles","dont le NC ADJ","Balzac-Goriot"
"1194","les","les fructifications grêles et","le NC ADJ et","Balzac-Goriot"
"1195","fructifications","fructifications grêles et poudreuses","NC ADJ et ADJ","Balzac-Goriot"
"1196","grêles","grêles et poudreuses sont","ADJ et ADJ être","Balzac-Goriot"
"1197","et","et poudreuses sont l’","et ADJ être NP","Balzac-Goriot"
"1198","poudreuses","poudreuses sont l’ objet","ADJ être NP NC","Balzac-Goriot"
"1199","sont","sont l’ objet de","être NP NC de","Balzac-Goriot"
"1200","l’","l’ objet de les","NP NC de le","Balzac-Goriot"
"1201","objet","objet de les craintes","NC de le NCABS","Balzac-Goriot"
"1202","de","de les craintes annuelles","de le NCABS ADJ","Balzac-Goriot"
"1203","les","les craintes annuelles de","le NCABS ADJ de","Balzac-Goriot"
"1204","craintes","craintes annuelles de madame","NCABS ADJ de NC","Balzac-Goriot"
"1205","annuelles","annuelles de madame Vauquer","ADJ de NC NP","Balzac-Goriot"
"1206","de","de madame Vauquer de","de NC NP de","Balzac-Goriot"
"1207","madame","madame Vauquer de ses","NC NP de DETPOSS","Balzac-Goriot"
"1208","Vauquer","Vauquer de ses conversations","NP de DETPOSS NC","Balzac-Goriot"
"1209","de","de ses conversations avec","de DETPOSS NC avec","Balzac-Goriot"
"1210","ses","ses conversations avec les","DETPOSS NC avec le","Balzac-Goriot"
"1211","conversations","conversations avec les pensionnaires","NC avec le NC","Balzac-Goriot"
"1212","avec","avec les pensionnaires .","avec le NC .","Balzac-Goriot"
"1213","les","les pensionnaires . Le","le NC . le","Balzac-Goriot"
"1214","pensionnaires","pensionnaires . Le long","NC . le NC","Balzac-Goriot"
"1215",".",". Le long de",". le NC de","Balzac-Goriot"
"1216","Le","Le long de chaque","le NC de chaque","Balzac-Goriot"
"1217","long","long de chaque muraille","NC de chaque NC","Balzac-Goriot"
"1218","de","de chaque muraille ,","de chaque NC ,","Balzac-Goriot"
"1219","chaque","chaque muraille , règne","chaque NC , PRES","Balzac-Goriot"
"1220","muraille","muraille , règne une","NC , PRES un","Balzac-Goriot"
"1221",",",", règne une étroite",", PRES un ADJ","Balzac-Goriot"
"1222","règne","règne une étroite allée","PRES un ADJ NC","Balzac-Goriot"
"1223","une","une étroite allée qui","un ADJ NC qui","Balzac-Goriot"
"1224","étroite","étroite allée qui mène","ADJ NC qui PRES","Balzac-Goriot"
"1225","allée","allée qui mène à","NC qui PRES à","Balzac-Goriot"
"1226","qui","qui mène à un","qui PRES à un","Balzac-Goriot"
"1227","mène","mène à un couvert","PRES à un NC","Balzac-Goriot"
"1228","à","à un couvert de","à un NC de","Balzac-Goriot"
"1229","un","un couvert de tilleuls","un NC de NC","Balzac-Goriot"
"1230","couvert","couvert de tilleuls ,","NC de NC ,","Balzac-Goriot"
"1231","de","de tilleuls , mot","de NC , NC","Balzac-Goriot"
"1232","tilleuls","tilleuls , mot que","NC , NC que","Balzac-Goriot"
"1233",",",", mot que madame",", NC que NC","Balzac-Goriot"
"1234","mot","mot que madame Vauquer","NC que NC NP","Balzac-Goriot"
"1235","que","que madame Vauquer ,","que NC NP ,","Balzac-Goriot"
"1236","madame","madame Vauquer , quoique","NC NP , ADV","Balzac-Goriot"
"1237","Vauquer","Vauquer , quoique née","NP , ADV PPAS","Balzac-Goriot"
"1238",",",", quoique née de",", ADV PPAS de","Balzac-Goriot"
"1239","quoique","quoique née de Conflans","ADV PPAS de NP","Balzac-Goriot"
"1240","née","née de Conflans ,","PPAS de NP ,","Balzac-Goriot"
"1241","de","de Conflans , prononce","de NP , PRES","Balzac-Goriot"
"1242","Conflans","Conflans , prononce obstinément","NP , PRES ADV","Balzac-Goriot"
"1243",",",", prononce obstinément tieuilles",", PRES ADV ADJ","Balzac-Goriot"
"1244","prononce","prononce obstinément tieuilles ,","PRES ADV ADJ ,","Balzac-Goriot"
"1245","obstinément","obstinément tieuilles , malgré","ADV ADJ , malgré","Balzac-Goriot"
"1246","tieuilles","tieuilles , malgré les","ADJ , malgré le","Balzac-Goriot"
"1247",",",", malgré les observations",", malgré le NC","Balzac-Goriot"
"1248","malgré","malgré les observations grammaticales","malgré le NC ADJ","Balzac-Goriot"
"1249","les","les observations grammaticales de","le NC ADJ de","Balzac-Goriot"
"1250","observations","observations grammaticales de ses","NC ADJ de DETPOSS","Balzac-Goriot"
"1251","grammaticales","grammaticales de ses hôtes","ADJ de DETPOSS NC","Balzac-Goriot"
"1252","de","de ses hôtes .","de DETPOSS NC .","Balzac-Goriot"
"1253","ses","ses hôtes . Entre","DETPOSS NC . entre","Balzac-Goriot"
"1254","hôtes","hôtes . Entre les","NC . entre le","Balzac-Goriot"
"1255",".",". Entre les deux",". entre le NUM","Balzac-Goriot"
"1256","Entre","Entre les deux allées","entre le NUM NC","Balzac-Goriot"
"1257","les","les deux allées latérales","le NUM NC ADJ","Balzac-Goriot"
"1258","deux","deux allées latérales est","NUM NC ADJ être","Balzac-Goriot"
"1259","allées","allées latérales est un","NC ADJ être un","Balzac-Goriot"
"1260","latérales","latérales est un carré","ADJ être un NC","Balzac-Goriot"
"1261","est","est un carré d’","être un NC NP","Balzac-Goriot"
"1262","un","un carré d’ artichauts","un NC NP NC","Balzac-Goriot"
"1263","carré","carré d’ artichauts flanqué","NC NP NC PPAS","Balzac-Goriot"
"1264","d’","d’ artichauts flanqué d’","NP NC PPAS NP","Balzac-Goriot"
"1265","artichauts","artichauts flanqué d’ arbres","NC PPAS NP NC","Balzac-Goriot"
"1266","flanqué","flanqué d’ arbres fruitiers","PPAS NP NC ADJ","Balzac-Goriot"
"1267","d’","d’ arbres fruitiers en","NP NC ADJ en","Balzac-Goriot"
"1268","arbres","arbres fruitiers en quenouille","NC ADJ en NC","Balzac-Goriot"
"1269","fruitiers","fruitiers en quenouille ,","ADJ en NC ,","Balzac-Goriot"
"1270","en","en quenouille , et","en NC , et","Balzac-Goriot"
"1271","quenouille","quenouille , et bordé","NC , et PPAS","Balzac-Goriot"
"1272",",",", et bordé d’",", et PPAS NP","Balzac-Goriot"
"1273","et","et bordé d’ oseille","et PPAS NP NUM","Balzac-Goriot"
"1274","bordé","bordé d’ oseille ,","PPAS NP NUM ,","Balzac-Goriot"
"1275","d’","d’ oseille , de","NP NUM , de","Balzac-Goriot"
"1276","oseille","oseille , de laitue","NUM , de NC","Balzac-Goriot"
"1277",",",", de laitue ou",", de NC ou","Balzac-Goriot"
"1278","de","de laitue ou de","de NC ou de","Balzac-Goriot"
"1279","laitue","laitue ou de persil","NC ou de NC","Balzac-Goriot"
"1280","ou","ou de persil .","ou de NC .","Balzac-Goriot"
"1281","de","de persil . Sous","de NC . sous","Balzac-Goriot"
"1282","persil","persil . Sous le","NC . sous le","Balzac-Goriot"
"1283",".",". Sous le couvert",". sous le NC","Balzac-Goriot"
"1284","Sous","Sous le couvert de","sous le NC de","Balzac-Goriot"
"1285","le","le couvert de tilleuls","le NC de NC","Balzac-Goriot"
"1286","couvert","couvert de tilleuls est","NC de NC être","Balzac-Goriot"
"1287","de","de tilleuls est plantée","de NC être PPAS","Balzac-Goriot"
"1288","tilleuls","tilleuls est plantée une","NC être PPAS un","Balzac-Goriot"
"1289","est","est plantée une table","être PPAS un NC","Balzac-Goriot"
"1290","plantée","plantée une table ronde","PPAS un NC ADJ","Balzac-Goriot"
"1291","une","une table ronde peinte","un NC ADJ PPAS","Balzac-Goriot"
"1292","table","table ronde peinte en","NC ADJ PPAS en","Balzac-Goriot"
"1293","ronde","ronde peinte en vert","ADJ PPAS en NC","Balzac-Goriot"
"1294","peinte","peinte en vert ,","PPAS en NC ,","Balzac-Goriot"
"1295","en","en vert , et","en NC , et","Balzac-Goriot"
"1296","vert","vert , et entourée","NC , et PPAS","Balzac-Goriot"
"1297",",",", et entourée de",", et PPAS de","Balzac-Goriot"
"1298","et","et entourée de sièges","et PPAS de NC","Balzac-Goriot"
"1299","entourée","entourée de sièges .","PPAS de NC .","Balzac-Goriot"
"1300","de","de sièges . La","de NC . le","Balzac-Goriot"
"1301","sièges","sièges . La ,","NC . le ,","Balzac-Goriot"
"1302",".",". La , durant",". le , durant","Balzac-Goriot"
"1303","La","La , durant les","le , durant le","Balzac-Goriot"
"1304",",",", durant les jours",", durant le NC","Balzac-Goriot"
"1305","durant","durant les jours caniculaires","durant le NC ADJ","Balzac-Goriot"
"1306","les","les jours caniculaires ,","le NC ADJ ,","Balzac-Goriot"
"1307","jours","jours caniculaires , les","NC ADJ , le","Balzac-Goriot"
"1308","caniculaires","caniculaires , les convives","ADJ , le NC","Balzac-Goriot"
"1309",",",", les convives assez",", le NC ADV","Balzac-Goriot"
"1310","les","les convives assez riches","le NC ADV ADJ","Balzac-Goriot"
"1311","convives","convives assez riches pour","NC ADV ADJ pour","Balzac-Goriot"
"1312","assez","assez riches pour se","ADV ADJ pour se","Balzac-Goriot"
"1313","riches","riches pour se permettre","ADJ pour se INF","Balzac-Goriot"
"1314","pour","pour se permettre de","pour se INF de","Balzac-Goriot"
"1315","se","se permettre de prendre","se INF de INF","Balzac-Goriot"
"1316","permettre","permettre de prendre le","INF de INF le","Balzac-Goriot"
"1317","de","de prendre le café","de INF le NC","Balzac-Goriot"
"1318","prendre","prendre le café ,","INF le NC ,","Balzac-Goriot"
"1319","le","le café , viennent","le NC , PRES","Balzac-Goriot"
"1320","café","café , viennent le","NC , PRES le","Balzac-Goriot"
"1321",",",", viennent le savourer",", PRES le INF","Balzac-Goriot"
"1322","viennent","viennent le savourer par","PRES le INF par","Balzac-Goriot"
"1323","le","le savourer par une","le INF par un","Balzac-Goriot"
"1324","savourer","savourer par une chaleur","INF par un NC","Balzac-Goriot"
"1325","par","par une chaleur capable","par un NC ADJ","Balzac-Goriot"
"1326","une","une chaleur capable de","un NC ADJ de","Balzac-Goriot"
"1327","chaleur","chaleur capable de faire","NC ADJ de INF","Balzac-Goriot"
"1328","capable","capable de faire éclore","ADJ de INF NC","Balzac-Goriot"
"1329","de","de faire éclore de","de INF NC de","Balzac-Goriot"
"1330","faire","faire éclore de les","INF NC de le","Balzac-Goriot"
"1331","éclore","éclore de les œufs","NC de le NC","Balzac-Goriot"
"1332","de","de les œufs .","de le NC .","Balzac-Goriot"
"1333","les","les œufs . La","le NC . le","Balzac-Goriot"
"1334","œufs","œufs . La façade","NC . le NC","Balzac-Goriot"
"1335",".",". La façade ,",". le NC ,","Balzac-Goriot"
"1336","La","La façade , élevée","le NC , PPAS","Balzac-Goriot"
"1337","façade","façade , élevée trois","NC , PPAS NUM","Balzac-Goriot"
"1338",",",", élevée trois étages",", PPAS NUM NC","Balzac-Goriot"
"1339","élevée","élevée trois étages et","PPAS NUM NC et","Balzac-Goriot"
"1340","trois","trois étages et surmontée","NUM NC et PPAS","Balzac-Goriot"
"1341","étages","étages et surmontée de","NC et PPAS de","Balzac-Goriot"
"1342","et","et surmontée de mansardes","et PPAS de NC","Balzac-Goriot"
"1343","surmontée","surmontée de mansardes ,","PPAS de NC ,","Balzac-Goriot"
"1344","de","de mansardes , est","de NC , être","Balzac-Goriot"
"1345","mansardes","mansardes , est bâtie","NC , être PPAS","Balzac-Goriot"
"1346",",",", est bâtie en",", être PPAS en","Balzac-Goriot"
"1347","est","est bâtie en moellons","être PPAS en NC","Balzac-Goriot"
"1348","bâtie","bâtie en moellons et","PPAS en NC et","Balzac-Goriot"
"1349","en","en moellons et badigeonnée","en NC et PPAS","Balzac-Goriot"
"1350","moellons","moellons et badigeonnée avec","NC et PPAS avec","Balzac-Goriot"
"1351","et","et badigeonnée avec cette","et PPAS avec ce","Balzac-Goriot"
"1352","badigeonnée","badigeonnée avec cette couleur","PPAS avec ce NC","Balzac-Goriot"
"1353","avec","avec cette couleur jaune","avec ce NC ADJ","Balzac-Goriot"
"1354","cette","cette couleur jaune qui","ce NC ADJ qui","Balzac-Goriot"
"1355","couleur","couleur jaune qui donne","NC ADJ qui PRES","Balzac-Goriot"
"1356","jaune","jaune qui donne un","ADJ qui PRES un","Balzac-Goriot"
"1357","qui","qui donne un caractère","qui PRES un NC","Balzac-Goriot"
"1358","donne","donne un caractère ignoble","PRES un NC ADJ","Balzac-Goriot"
"1359","un","un caractère ignoble à","un NC ADJ à","Balzac-Goriot"
"1360","caractère","caractère ignoble à presque","NC ADJ à presque","Balzac-Goriot"
"1361","ignoble","ignoble à presque toutes","ADJ à presque tout","Balzac-Goriot"
"1362","à","à presque toutes les","à presque tout le","Balzac-Goriot"
"1363","presque","presque toutes les maisons","presque tout le NC","Balzac-Goriot"
"1364","toutes","toutes les maisons de","tout le NC de","Balzac-Goriot"
"1365","les","les maisons de Paris","le NC de NP","Balzac-Goriot"
"1366","maisons","maisons de Paris .","NC de NP .","Balzac-Goriot"
"1367","de","de Paris . Les","de NP . le","Balzac-Goriot"
