"","mots","ngrammot","motifs","Oeuvre"
"75","Maison","Maison Vauquer , admet","NP NP , PRES","Balzac-Goriot"
"76","Vauquer","Vauquer , admet également","NP , PRES également","Balzac-Goriot"
"77",",",", admet également de",", PRES également de","Balzac-Goriot"
"78","admet","admet également de les","PRES également de le","Balzac-Goriot"
"79","également","également de les hommes","également de le NC","Balzac-Goriot"
"80","de","de les hommes et","de le NC et","Balzac-Goriot"
"81","les","les hommes et de","le NC et de","Balzac-Goriot"
"82","hommes","hommes et de les","NC et de le","Balzac-Goriot"
"83","et","et de les femmes","et de le NC","Balzac-Goriot"
"84","de","de les femmes ,","de le NC ,","Balzac-Goriot"
"85","les","les femmes , de","le NC , de","Balzac-Goriot"
"86","femmes","femmes , de les","NC , de le","Balzac-Goriot"
"87",",",", de les jeunes",", de le ADJ","Balzac-Goriot"
"88","de","de les jeunes gens","de le ADJ NC","Balzac-Goriot"
"89","les","les jeunes gens et","le ADJ NC et","Balzac-Goriot"
"90","jeunes","jeunes gens et de","ADJ NC et de","Balzac-Goriot"
"91","gens","gens et de les","NC et de le","Balzac-Goriot"
"92","et","et de les vieillards","et de le NC","Balzac-Goriot"
"93","de","de les vieillards ,","de le NC ,","Balzac-Goriot"
"94","les","les vieillards , sans","le NC , sans","Balzac-Goriot"
"95","vieillards","vieillards , sans que","NC , sans que","Balzac-Goriot"
"96",",",", sans que jamais",", sans que jamais","Balzac-Goriot"
"97","sans","sans que jamais la","sans que jamais le","Balzac-Goriot"
"98","que","que jamais la médisance","que jamais le NC","Balzac-Goriot"
"99","jamais","jamais la médisance ait","jamais le NC avoir","Balzac-Goriot"
"100","la","la médisance ait attaqué","le NC avoir PPAS","Balzac-Goriot"
"101","médisance","médisance ait attaqué les","NC avoir PPAS le","Balzac-Goriot"
"102","ait","ait attaqué les mœurs","avoir PPAS le NC","Balzac-Goriot"
"103","attaqué","attaqué les mœurs de","PPAS le NC de","Balzac-Goriot"
"104","les","les mœurs de ce","le NC de ce","Balzac-Goriot"
"105","mœurs","mœurs de ce respectable","NC de ce ADJ","Balzac-Goriot"
"106","de","de ce respectable établissement","de ce ADJ NC","Balzac-Goriot"
"107","ce","ce respectable établissement .","ce ADJ NC .","Balzac-Goriot"
"108","respectable","respectable établissement . Mais","ADJ NC . mais","Balzac-Goriot"
"109","établissement","établissement . Mais aussi","NC . mais aussi","Balzac-Goriot"
"110",".",". Mais aussi depuis",". mais aussi depuis","Balzac-Goriot"
"111","Mais","Mais aussi depuis trente","mais aussi depuis NUM","Balzac-Goriot"
"112","aussi","aussi depuis trente ans","aussi depuis NUM NC","Balzac-Goriot"
"113","depuis","depuis trente ans ne","depuis NUM NC ne","Balzac-Goriot"
"114","trente","trente ans ne s’","NUM NC ne NP","Balzac-Goriot"
"115","ans","ans ne s’ y","NC ne NP y","Balzac-Goriot"
"116","ne","ne s’ y était","ne NP y être","Balzac-Goriot"
"117","s’","s’ y était -il","NP y être il","Balzac-Goriot"
"118","y","y était -il jamais","y être il jamais","Balzac-Goriot"
"119","était","était -il jamais vu","être il jamais PPAS","Balzac-Goriot"
"120","-il","-il jamais vu de","il jamais PPAS un","Balzac-Goriot"
"121","jamais","jamais vu de jeune","jamais PPAS un ADJ","Balzac-Goriot"
"122","vu","vu de jeune personne","PPAS un ADJ NC","Balzac-Goriot"
"123","de","de jeune personne ,","un ADJ NC ,","Balzac-Goriot"
"124","jeune","jeune personne , et","ADJ NC , et","Balzac-Goriot"
"125","personne","personne , et pour","NC , et pour","Balzac-Goriot"
"126",",",", et pour qu’",", et pour NP","Balzac-Goriot"
"127","et","et pour qu’ un","et pour NP un","Balzac-Goriot"
"128","pour","pour qu’ un jeune","pour NP un ADJ","Balzac-Goriot"
"129","qu’","qu’ un jeune homme","NP un ADJ NC","Balzac-Goriot"
"130","un","un jeune homme y","un ADJ NC y","Balzac-Goriot"
"131","jeune","jeune homme y demeure","ADJ NC y VSUBP","Balzac-Goriot"
"132","homme","homme y demeure ,","NC y VSUBP ,","Balzac-Goriot"
