"","mots","motifs","Oeuvre"
"1","Honoré","PPAS","Balzac-Goriot"
"2","de","de","Balzac-Goriot"
"3","Balzac","NP","Balzac-Goriot"
"4","Le","le","Balzac-Goriot"
"5","père","NC","Balzac-Goriot"
"6","Goriot","NP","Balzac-Goriot"
"7","À","à","Balzac-Goriot"
"8","le","le","Balzac-Goriot"
"9","grand","ADJ","Balzac-Goriot"
"10","et","et","Balzac-Goriot"
"11","illustre","ADJ","Balzac-Goriot"
"12","Geoffroy-Saint-Hilaire","NP","Balzac-Goriot"
"13",",",",","Balzac-Goriot"
"14","Comme","comme","Balzac-Goriot"
"15","un","un","Balzac-Goriot"
"16","témoignage","NC","Balzac-Goriot"
"17","d’","NP","Balzac-Goriot"
"18","admiration","NCABS","Balzac-Goriot"
"19","de","de","Balzac-Goriot"
"20","ses","DETPOSS","Balzac-Goriot"
"21","travaux","NC","Balzac-Goriot"
"22","et","et","Balzac-Goriot"
"23","de","de","Balzac-Goriot"
"24","son","DETPOSS","Balzac-Goriot"
"25","génie","NC","Balzac-Goriot"
"26",".",".","Balzac-Goriot"
"27","De","de","Balzac-Goriot"
"28","Balzac","NP","Balzac-Goriot"
"29",".",".","Balzac-Goriot"
"30","Madame","NC","Balzac-Goriot"
"31","Vauquer","NP","Balzac-Goriot"
"32",",",",","Balzac-Goriot"
"33","née","PPAS","Balzac-Goriot"
"34","de","de","Balzac-Goriot"
"35","Conflans","NP","Balzac-Goriot"
"36",",",",","Balzac-Goriot"
"37","est","être","Balzac-Goriot"
"38","une","un","Balzac-Goriot"
"39","vieille","ADJ","Balzac-Goriot"
"40","femme","NC","Balzac-Goriot"
"41","qui","qui","Balzac-Goriot"
"42",",",",","Balzac-Goriot"
"43","depuis","depuis","Balzac-Goriot"
"44","quarante","NUM","Balzac-Goriot"
"45","ans","NC","Balzac-Goriot"
"46",",",",","Balzac-Goriot"
"47","tient","PRES","Balzac-Goriot"
"48","à","à","Balzac-Goriot"
"49","Paris","NP","Balzac-Goriot"
"50","une","un","Balzac-Goriot"
"51","pension","NC","Balzac-Goriot"
"52","bourgeoise","ADJ","Balzac-Goriot"
"53","établie","PPAS","Balzac-Goriot"
"54","rue","NC","Balzac-Goriot"
"55","Neuve-Sainte-Geneviève","NP","Balzac-Goriot"
"56",",",",","Balzac-Goriot"
"57","entre","entre","Balzac-Goriot"
"58","le","le","Balzac-Goriot"
"59","quartier","NC","Balzac-Goriot"
"60","latin","ADJ","Balzac-Goriot"
"61","et","et","Balzac-Goriot"
"62","le","le","Balzac-Goriot"
"63","faubourg","NC","Balzac-Goriot"
"64","Saint-Marceau","NP","Balzac-Goriot"
"65",".",".","Balzac-Goriot"
"66","Cette","ce","Balzac-Goriot"
"67","pension","NC","Balzac-Goriot"
"68",",",",","Balzac-Goriot"
"69","connue","PPAS","Balzac-Goriot"
"70","sous","sous","Balzac-Goriot"
"71","le","le","Balzac-Goriot"
"72","nom","NC","Balzac-Goriot"
"73","de","de","Balzac-Goriot"
"74","la","le","Balzac-Goriot"
"75","Maison","NP","Balzac-Goriot"
"76","Vauquer","NP","Balzac-Goriot"
"77",",",",","Balzac-Goriot"
"78","admet","PRES","Balzac-Goriot"
"79","également","également","Balzac-Goriot"
"80","de","de","Balzac-Goriot"
"81","les","le","Balzac-Goriot"
"82","hommes","NC","Balzac-Goriot"
"83","et","et","Balzac-Goriot"
"84","de","de","Balzac-Goriot"
"85","les","le","Balzac-Goriot"
"86","femmes","NC","Balzac-Goriot"
"87",",",",","Balzac-Goriot"
"88","de","de","Balzac-Goriot"
"89","les","le","Balzac-Goriot"
"90","jeunes","ADJ","Balzac-Goriot"
"91","gens","NC","Balzac-Goriot"
"92","et","et","Balzac-Goriot"
"93","de","de","Balzac-Goriot"
"94","les","le","Balzac-Goriot"
"95","vieillards","NC","Balzac-Goriot"
"96",",",",","Balzac-Goriot"
"97","sans","sans","Balzac-Goriot"
"98","que","que","Balzac-Goriot"
"99","jamais","jamais","Balzac-Goriot"
"100","la","le","Balzac-Goriot"
"101","médisance","NC","Balzac-Goriot"
"102","ait","avoir","Balzac-Goriot"
"103","attaqué","PPAS","Balzac-Goriot"
"104","les","le","Balzac-Goriot"
"105","mœurs","NC","Balzac-Goriot"
"106","de","de","Balzac-Goriot"
"107","ce","ce","Balzac-Goriot"
"108","respectable","ADJ","Balzac-Goriot"
"109","établissement","NC","Balzac-Goriot"
"110",".",".","Balzac-Goriot"
"111","Mais","mais","Balzac-Goriot"
"112","aussi","aussi","Balzac-Goriot"
"113","depuis","depuis","Balzac-Goriot"
"114","trente","NUM","Balzac-Goriot"
"115","ans","NC","Balzac-Goriot"
"116","ne","ne","Balzac-Goriot"
"117","s’","NP","Balzac-Goriot"
"118","y","y","Balzac-Goriot"
"119","était","être","Balzac-Goriot"
"120","-il","il","Balzac-Goriot"
"121","jamais","jamais","Balzac-Goriot"
"122","vu","PPAS","Balzac-Goriot"
"123","de","un","Balzac-Goriot"
"124","jeune","ADJ","Balzac-Goriot"
"125","personne","NC","Balzac-Goriot"
"126",",",",","Balzac-Goriot"
"127","et","et","Balzac-Goriot"
"128","pour","pour","Balzac-Goriot"
"129","qu’","NP","Balzac-Goriot"
"130","un","un","Balzac-Goriot"
"131","jeune","ADJ","Balzac-Goriot"
"132","homme","NC","Balzac-Goriot"
"133","y","y","Balzac-Goriot"
"134","demeure","VSUBP","Balzac-Goriot"
"135",",",",","Balzac-Goriot"
"136","sa","DETPOSS","Balzac-Goriot"
"137","famille","NC","Balzac-Goriot"
"138","doit","PRES","Balzac-Goriot"
"139","-elle","il","Balzac-Goriot"
"140","lui","lui","Balzac-Goriot"
"141","faire","INF","Balzac-Goriot"
"142","une","un","Balzac-Goriot"
"143","bien","bien","Balzac-Goriot"
"144","maigre","ADJ","Balzac-Goriot"
"145","pension","NC","Balzac-Goriot"
"146",".",".","Balzac-Goriot"
"147","Néanmoins","ADV","Balzac-Goriot"
"148",",",",","Balzac-Goriot"
"149","en","en","Balzac-Goriot"
"150","1819","NUM","Balzac-Goriot"
"151",",",",","Balzac-Goriot"
"152","époque","NC","Balzac-Goriot"
"153","à","à","Balzac-Goriot"
"154","laquelle","lequel","Balzac-Goriot"
"155","ce","ce","Balzac-Goriot"
"156","drame","NCABS","Balzac-Goriot"
"157","commence","PRES","Balzac-Goriot"
"158",",",",","Balzac-Goriot"
"159","il","il","Balzac-Goriot"
"160","s’","NP","Balzac-Goriot"
"161","y","y","Balzac-Goriot"
"162","trouvait","VIMP","Balzac-Goriot"
"163","une","un","Balzac-Goriot"
"164","pauvre","NC","Balzac-Goriot"
"165","jeune","ADJ","Balzac-Goriot"
"166","fille","NC","Balzac-Goriot"
"167",".",".","Balzac-Goriot"
"168","En","en","Balzac-Goriot"
"169","quelque","quelque","Balzac-Goriot"
"170","discrédit","NCABS","Balzac-Goriot"
"171","que","que","Balzac-Goriot"
"172","soit","être","Balzac-Goriot"
"173","tombé","PPAS","Balzac-Goriot"
"174","le","le","Balzac-Goriot"
"175","mot","NC","Balzac-Goriot"
"176","drame","PRES","Balzac-Goriot"
"177","par","par","Balzac-Goriot"
"178","la","le","Balzac-Goriot"
"179","manière","NC","Balzac-Goriot"
"180","abusive","ADJ","Balzac-Goriot"
"181","et","et","Balzac-Goriot"
"182","tortionnaire","ADJ","Balzac-Goriot"
"183","dont","dont","Balzac-Goriot"
"184","il","il","Balzac-Goriot"
"185","a","avoir","Balzac-Goriot"
"186","été","être","Balzac-Goriot"
"187","prodigué","PPAS","Balzac-Goriot"
"188","dans","dans","Balzac-Goriot"
"189","ces","ce","Balzac-Goriot"
"190","temps","NC","Balzac-Goriot"
"191","de","de","Balzac-Goriot"
"192","douloureuse","ADJ","Balzac-Goriot"
"193","littérature","NC","Balzac-Goriot"
"194",",",",","Balzac-Goriot"
"195","il","il","Balzac-Goriot"
"196","est","être","Balzac-Goriot"
"197","nécessaire","ADJ","Balzac-Goriot"
"198","de","de","Balzac-Goriot"
"199","l’","NP","Balzac-Goriot"
"200","employer","INF","Balzac-Goriot"
"201","ici","ici","Balzac-Goriot"
"202",":",":","Balzac-Goriot"
"203","non","non","Balzac-Goriot"
"204","que","que","Balzac-Goriot"
"205","cette","ce","Balzac-Goriot"
"206","histoire","NC","Balzac-Goriot"
"207","soit","être","Balzac-Goriot"
"208","dramatique","ADJ","Balzac-Goriot"
"209","dans","dans","Balzac-Goriot"
"210","le","le","Balzac-Goriot"
"211","sens","NC","Balzac-Goriot"
"212","vrai","ADJ","Balzac-Goriot"
"213","de","de","Balzac-Goriot"
"214","le","le","Balzac-Goriot"
"215","mot","NC","Balzac-Goriot"
"216",";",";","Balzac-Goriot"
"217","mais","mais","Balzac-Goriot"
"218",",",",","Balzac-Goriot"
"219","l’","NP","Balzac-Goriot"
"220","œuvre","NP","Balzac-Goriot"
"221","accomplie","PRES","Balzac-Goriot"
"222",",",",","Balzac-Goriot"
"223","peut-être","ADV","Balzac-Goriot"
"224","aura","avoir","Balzac-Goriot"
"225","-t","t","Balzac-Goriot"
"226","-on","on","Balzac-Goriot"
"227","versé","PPAS","Balzac-Goriot"
"228","quelques","quelque","Balzac-Goriot"
"229","larmes","NC","Balzac-Goriot"
"230","intra","VF","Balzac-Goriot"
"231","muros","ADJ","Balzac-Goriot"
"232","et","et","Balzac-Goriot"
"233","extra","ADJ","Balzac-Goriot"
"234",".",".","Balzac-Goriot"
"235","Sera","être","Balzac-Goriot"
"236","-t","t","Balzac-Goriot"
"237","-elle","il","Balzac-Goriot"
"238","comprise","PPAS","Balzac-Goriot"
"239","au-delà","ADV","Balzac-Goriot"
"240","de","de","Balzac-Goriot"
"241","Paris","NP","Balzac-Goriot"
"242","?","?","Balzac-Goriot"
"243","le","le","Balzac-Goriot"
"244","doute","NCABS","Balzac-Goriot"
"245","est","être","Balzac-Goriot"
"246","permis","PPAS","Balzac-Goriot"
"247",".",".","Balzac-Goriot"
"248","Les","le","Balzac-Goriot"
"249","particularités","NC","Balzac-Goriot"
"250","de","de","Balzac-Goriot"
"251","cette","ce","Balzac-Goriot"
"252","scène","NC","Balzac-Goriot"
"253","pleine","ADJ","Balzac-Goriot"
"254","d’","NP","Balzac-Goriot"
"255","observations","NC","Balzac-Goriot"
"256","et","et","Balzac-Goriot"
"257","de","de","Balzac-Goriot"
"258","couleurs","NC","Balzac-Goriot"
"259","locales","ADJ","Balzac-Goriot"
"260","ne","ne","Balzac-Goriot"
"261","peuvent","PRES","Balzac-Goriot"
"262","être","être","Balzac-Goriot"
"263","appréciées","PPAS","Balzac-Goriot"
"264","qu’","NP","Balzac-Goriot"
"265","entre","entre","Balzac-Goriot"
"266","les","le","Balzac-Goriot"
"267","buttes","NC","Balzac-Goriot"
"268","de","de","Balzac-Goriot"
"269","Montmartre","NP","Balzac-Goriot"
"270","et","et","Balzac-Goriot"
"271","les","le","Balzac-Goriot"
"272","hauteurs","NC","Balzac-Goriot"
"273","de","de","Balzac-Goriot"
"274","Montrouge","NP","Balzac-Goriot"
"275",",",",","Balzac-Goriot"
"276","dans","dans","Balzac-Goriot"
"277","cette","ce","Balzac-Goriot"
"278","illustre","ADJ","Balzac-Goriot"
"279","vallée","NC","Balzac-Goriot"
"280","de","de","Balzac-Goriot"
"281","plâtras","NC","Balzac-Goriot"
"282","incessamment","ADVPHA","Balzac-Goriot"
"283","près","ADV","Balzac-Goriot"
"284","de","de","Balzac-Goriot"
"285","tomber","INF","Balzac-Goriot"
"286","et","et","Balzac-Goriot"
"287","de","de","Balzac-Goriot"
"288","ruisseaux","NC","Balzac-Goriot"
"289","noirs","ADJ","Balzac-Goriot"
"290","de","de","Balzac-Goriot"
"291","boue","NC","Balzac-Goriot"
"292",";",";","Balzac-Goriot"
"293","vallée","NC","Balzac-Goriot"
"294","remplie","PPAS","Balzac-Goriot"
"295","de","de","Balzac-Goriot"
"296","souffrances","NCABS","Balzac-Goriot"
"297","réelles","ADJ","Balzac-Goriot"
"298",",",",","Balzac-Goriot"
"299","de","de","Balzac-Goriot"
"300","joies","NCABS","Balzac-Goriot"
"301","souvent","ADV","Balzac-Goriot"
"302","fausses","ADJ","Balzac-Goriot"
"303",",",",","Balzac-Goriot"
"304","et","et","Balzac-Goriot"
"305","si","si","Balzac-Goriot"
"306","terriblement","ADVINT","Balzac-Goriot"
"307","agitée","PPAS","Balzac-Goriot"
"308","qu’","NP","Balzac-Goriot"
"309","il","il","Balzac-Goriot"
"310","faut","PRES","Balzac-Goriot"
"311","je","je","Balzac-Goriot"
"312","ne","ne","Balzac-Goriot"
"313","sais","PRES","Balzac-Goriot"
"314","quoi","quoi","Balzac-Goriot"
"315","d’","NP","Balzac-Goriot"
"316","exorbitant","PPRES","Balzac-Goriot"
"317","pour","pour","Balzac-Goriot"
"318","y","y","Balzac-Goriot"
"319","produire","INF","Balzac-Goriot"
"320","une","un","Balzac-Goriot"
"321","sensation","NCABS","Balzac-Goriot"
"322","de","de","Balzac-Goriot"
"323","quelque","quelque","Balzac-Goriot"
"324","durée","NC","Balzac-Goriot"
"325",".",".","Balzac-Goriot"
"326","Cependant","cependant","Balzac-Goriot"
"327","il","il","Balzac-Goriot"
"328","s’","NP","Balzac-Goriot"
"329","y","y","Balzac-Goriot"
"330","rencontre","PRES","Balzac-Goriot"
"331","çà","ADV","Balzac-Goriot"
"332","et","et","Balzac-Goriot"
"333","là","là","Balzac-Goriot"
"334","les","le","Balzac-Goriot"
"335","douleurs","NCABS","Balzac-Goriot"
"336","que","que","Balzac-Goriot"
"337","l’","NP","Balzac-Goriot"
"338","agglomération","NC","Balzac-Goriot"
"339","les","le","Balzac-Goriot"
"340","vices","NC","Balzac-Goriot"
"341","et","et","Balzac-Goriot"
"342","les","le","Balzac-Goriot"
"343","vertus","NC","Balzac-Goriot"
"344","rend","PRES","Balzac-Goriot"
"345","grandes","ADJ","Balzac-Goriot"
"346","et","et","Balzac-Goriot"
"347","solennelles","ADJ","Balzac-Goriot"
"348",":",":","Balzac-Goriot"
"349","à","à","Balzac-Goriot"
"350","leur","DETPOSS","Balzac-Goriot"
"351","aspect","NC","Balzac-Goriot"
"352",",",",","Balzac-Goriot"
"353","les","le","Balzac-Goriot"
"354","égoïsmes","NCABS","Balzac-Goriot"
"355",",",",","Balzac-Goriot"
"356","les","le","Balzac-Goriot"
"357","intérêts","NCABS","Balzac-Goriot"
"358",",",",","Balzac-Goriot"
"359","s’","NP","Balzac-Goriot"
"360","arrêtent","PRES","Balzac-Goriot"
"361","et","et","Balzac-Goriot"
"362","s’","NP","Balzac-Goriot"
"363","apitoient","PRES","Balzac-Goriot"
"364",";",";","Balzac-Goriot"
"365","mais","mais","Balzac-Goriot"
"366","l’","NP","Balzac-Goriot"
"367","impression","NC","Balzac-Goriot"
"368","qu’","NP","Balzac-Goriot"
"369","ils","ils","Balzac-Goriot"
"370","en","en","Balzac-Goriot"
"371","reçoivent","PRES","Balzac-Goriot"
"372","est","être","Balzac-Goriot"
"373","comme","comme","Balzac-Goriot"
"374","un","un","Balzac-Goriot"
"375","fruit","NC","Balzac-Goriot"
"376","savoureux","ADJ","Balzac-Goriot"
"377","promptement","ADV","Balzac-Goriot"
"378","dévoré","PPAS","Balzac-Goriot"
"379",".",".","Balzac-Goriot"
"380","Le","le","Balzac-Goriot"
"381","char","NC","Balzac-Goriot"
"382","de","de","Balzac-Goriot"
"383","la","le","Balzac-Goriot"
"384","civilisation","NC","Balzac-Goriot"
"385",",",",","Balzac-Goriot"
"386","semblable","ADJ","Balzac-Goriot"
"387","à","à","Balzac-Goriot"
"388","celui","celui","Balzac-Goriot"
"389","de","de","Balzac-Goriot"
"390","l’","NP","Balzac-Goriot"
"391","idole","ADJ","Balzac-Goriot"
"392","de","de","Balzac-Goriot"
"393","Jaggernat","NP","Balzac-Goriot"
"394",",",",","Balzac-Goriot"
"395","à","à","Balzac-Goriot"
"396","peine","NCABS","Balzac-Goriot"
"397","retardé","PPAS","Balzac-Goriot"
"398","par","par","Balzac-Goriot"
"399","un","un","Balzac-Goriot"
"400","cœur","NC","Balzac-Goriot"
"401","moins","moins","Balzac-Goriot"
"402","facile","ADJ","Balzac-Goriot"
"403","à","à","Balzac-Goriot"
"404","broyer","INF","Balzac-Goriot"
"405","que","que","Balzac-Goriot"
"406","les","le","Balzac-Goriot"
"407","autres","NC","Balzac-Goriot"
"408","et","et","Balzac-Goriot"
"409","qui","qui","Balzac-Goriot"
"410","enraie","PRES","Balzac-Goriot"
"411","sa","DETPOSS","Balzac-Goriot"
"412","roue","NC","Balzac-Goriot"
"413",",",",","Balzac-Goriot"
"414","l’","NP","Balzac-Goriot"
"415","a","avoir","Balzac-Goriot"
"416","brisé","PPAS","Balzac-Goriot"
"417","bientôt","bientôt","Balzac-Goriot"
"418","et","et","Balzac-Goriot"
"419","continue","PRES","Balzac-Goriot"
"420","sa","DETPOSS","Balzac-Goriot"
"421","marche","NC","Balzac-Goriot"
"422","glorieuse","ADJ","Balzac-Goriot"
"423",".",".","Balzac-Goriot"
"424","Ainsi","ainsi","Balzac-Goriot"
"425","ferez-vous","ferez-le","Balzac-Goriot"
"426",",",",","Balzac-Goriot"
"427","vous","vous","Balzac-Goriot"
"428","qui","qui","Balzac-Goriot"
"429","tenez","PRES","Balzac-Goriot"
"430","ce","ce","Balzac-Goriot"
"431","livre","NC","Balzac-Goriot"
"432","d’","NP","Balzac-Goriot"
"433","une","un","Balzac-Goriot"
"434","main","NCCOR","Balzac-Goriot"
"435","blanche","ADJ","Balzac-Goriot"
"436",",",",","Balzac-Goriot"
"437","vous","vous","Balzac-Goriot"
"438","qui","qui","Balzac-Goriot"
"439","vous","vous","Balzac-Goriot"
"440","enfoncez","PRES","Balzac-Goriot"
"441","dans","dans","Balzac-Goriot"
"442","un","un","Balzac-Goriot"
"443","moelleux","NC","Balzac-Goriot"
"444","fauteuil","ADJ","Balzac-Goriot"
"445","en","en","Balzac-Goriot"
"446","vous","vous","Balzac-Goriot"
"447","disant","PPRES","Balzac-Goriot"
"448",":",":","Balzac-Goriot"
"449","Peut-être","ADV","Balzac-Goriot"
"450","ceci","ceci","Balzac-Goriot"
"451","va","PRES","Balzac-Goriot"
"452","-t","t","Balzac-Goriot"
"453","-il","il","Balzac-Goriot"
"454","m’","NP","Balzac-Goriot"
"455","amuser","INF","Balzac-Goriot"
"456",".",".","Balzac-Goriot"
"457","Après","après","Balzac-Goriot"
"458","avoir","avoir","Balzac-Goriot"
"459","lu","PPAS","Balzac-Goriot"
"460","les","le","Balzac-Goriot"
"461","secrètes","NC","Balzac-Goriot"
"462","infortunes","NCABS","Balzac-Goriot"
"463","de","de","Balzac-Goriot"
"464","le","le","Balzac-Goriot"
"465","père","NC","Balzac-Goriot"
"466","Goriot","NP","Balzac-Goriot"
"467",",",",","Balzac-Goriot"
"468","vous","vous","Balzac-Goriot"
"469","dînerez","PRES","Balzac-Goriot"
"470","avec","avec","Balzac-Goriot"
"471","appétit","NC","Balzac-Goriot"
"472","en","en","Balzac-Goriot"
"473","mettant","PPRES","Balzac-Goriot"
"474","votre","DETPOSS","Balzac-Goriot"
"475","insensibilité","NCABS","Balzac-Goriot"
"476","sur","sur","Balzac-Goriot"
"477","le","le","Balzac-Goriot"
"478","compte","NC","Balzac-Goriot"
"479","de","de","Balzac-Goriot"
"480","l’","NP","Balzac-Goriot"
"481","auteur","NC","Balzac-Goriot"
"482",",",",","Balzac-Goriot"
"483","en","en","Balzac-Goriot"
"484","le","le","Balzac-Goriot"
"485","taxant","NC","Balzac-Goriot"
"486","d’","NP","Balzac-Goriot"
"487","exagération","NCABS","Balzac-Goriot"
"488",",",",","Balzac-Goriot"
"489","en","en","Balzac-Goriot"
"490","l’","NP","Balzac-Goriot"
"491","accusant","PPRES","Balzac-Goriot"
"492","de","de","Balzac-Goriot"
"493","poésie","NC","Balzac-Goriot"
"494",".",".","Balzac-Goriot"
"495","Ah","INTJ","Balzac-Goriot"
"496","!","!","Balzac-Goriot"
"497","sachez","IMP","Balzac-Goriot"
"498","-le","le","Balzac-Goriot"
"499",":",":","Balzac-Goriot"
"500","ce","ce","Balzac-Goriot"
"501","drame","NCABS","Balzac-Goriot"
"502","n’","NP","Balzac-Goriot"
"503","est","être","Balzac-Goriot"
"504","ni","ni","Balzac-Goriot"
"505","une","un","Balzac-Goriot"
"506","fiction","NC","Balzac-Goriot"
"507",",",",","Balzac-Goriot"
"508","ni","ni","Balzac-Goriot"
"509","un","un","Balzac-Goriot"
"510","roman","NC","Balzac-Goriot"
"511",".",".","Balzac-Goriot"
"512","All","NC","Balzac-Goriot"
"513","is","ADJ","Balzac-Goriot"
"514","true","ADJ","Balzac-Goriot"
"515",",",",","Balzac-Goriot"
"516","il","il","Balzac-Goriot"
"517","est","être","Balzac-Goriot"
"518","si","si","Balzac-Goriot"
"519","véritable","ADJ","Balzac-Goriot"
"520",",",",","Balzac-Goriot"
"521","que","que","Balzac-Goriot"
"522","chacun","chacun","Balzac-Goriot"
"523","peut","PRES","Balzac-Goriot"
"524","en","en","Balzac-Goriot"
"525","reconnaître","INF","Balzac-Goriot"
"526","les","le","Balzac-Goriot"
"527","éléments","NC","Balzac-Goriot"
"528","chez","chez","Balzac-Goriot"
"529","soi","soi","Balzac-Goriot"
"530",",",",","Balzac-Goriot"
"531","dans","dans","Balzac-Goriot"
"532","son","DETPOSS","Balzac-Goriot"
"533","cœur","NC","Balzac-Goriot"
"534","peut-être","ADV","Balzac-Goriot"
"535","!","!","Balzac-Goriot"
"536","La","le","Balzac-Goriot"
"537","maison","NC","Balzac-Goriot"
"538","où","où","Balzac-Goriot"
"539","s’","NP","Balzac-Goriot"
"540","exploite","PRES","Balzac-Goriot"
"541","la","le","Balzac-Goriot"
"542","pension","NC","Balzac-Goriot"
"543","bourgeoise","ADJ","Balzac-Goriot"
"544","appartient","PRES","Balzac-Goriot"
"545","à","à","Balzac-Goriot"
"546","madame","NC","Balzac-Goriot"
"547","Vauquer","NP","Balzac-Goriot"
"548",".",".","Balzac-Goriot"
"549","Elle","elle","Balzac-Goriot"
"550","est","être","Balzac-Goriot"
"551","située","PPAS","Balzac-Goriot"
"552","dans","dans","Balzac-Goriot"
"553","le","le","Balzac-Goriot"
"554","bas","NC","Balzac-Goriot"
"555","de","de","Balzac-Goriot"
"556","la","le","Balzac-Goriot"
"557","rue","NC","Balzac-Goriot"
"558","Neuve-Sainte-Geneviève","NP","Balzac-Goriot"
"559",",",",","Balzac-Goriot"
"560","à","à","Balzac-Goriot"
"561","l’","NP","Balzac-Goriot"
"562","endroit","NC","Balzac-Goriot"
"563","où","où","Balzac-Goriot"
"564","le","le","Balzac-Goriot"
"565","terrain","NC","Balzac-Goriot"
"566","s’","NP","Balzac-Goriot"
"567","abaisse","PRES","Balzac-Goriot"
"568","vers","vers","Balzac-Goriot"
"569","la","le","Balzac-Goriot"
"570","rue","NC","Balzac-Goriot"
"571","de","de","Balzac-Goriot"
"572","l’","NP","Balzac-Goriot"
"573","Arbalète","PRES","Balzac-Goriot"
"574","par","par","Balzac-Goriot"
"575","une","un","Balzac-Goriot"
"576","pente","NC","Balzac-Goriot"
"577","si","si","Balzac-Goriot"
"578","brusque","ADJ","Balzac-Goriot"
"579","et","et","Balzac-Goriot"
"580","si","si","Balzac-Goriot"
"581","rude","ADJ","Balzac-Goriot"
"582","que","que","Balzac-Goriot"
"583","les","le","Balzac-Goriot"
"584","chevaux","NC","Balzac-Goriot"
"585","la","le","Balzac-Goriot"
"586","montent","PRES","Balzac-Goriot"
"587","ou","ou","Balzac-Goriot"
"588","la","le","Balzac-Goriot"
"589","descendent","PRES","Balzac-Goriot"
"590","rarement","ADVFRE","Balzac-Goriot"
"591",".",".","Balzac-Goriot"
"592","Cette","ce","Balzac-Goriot"
"593","circonstance","NC","Balzac-Goriot"
"594","est","être","Balzac-Goriot"
"595","favorable","ADJ","Balzac-Goriot"
"596","à","à","Balzac-Goriot"
"597","le","le","Balzac-Goriot"
"598","silence","NC","Balzac-Goriot"
"599","qui","qui","Balzac-Goriot"
"600","règne","PRES","Balzac-Goriot"
"601","dans","dans","Balzac-Goriot"
"602","ces","ce","Balzac-Goriot"
"603","rues","NC","Balzac-Goriot"
"604","entre","entre","Balzac-Goriot"
"605","le","le","Balzac-Goriot"
"606","dôme","NC","Balzac-Goriot"
"607","de","de","Balzac-Goriot"
"608","le","le","Balzac-Goriot"
"609","Val-de-Grâce","NP","Balzac-Goriot"
"610","et","et","Balzac-Goriot"
"611","le","le","Balzac-Goriot"
"612","dôme","NC","Balzac-Goriot"
"613","de","de","Balzac-Goriot"
"614","le","le","Balzac-Goriot"
"615","Panthéon","NP","Balzac-Goriot"
"616",",",",","Balzac-Goriot"
"617","deux","NUM","Balzac-Goriot"
"618","monuments","NC","Balzac-Goriot"
"619","qui","qui","Balzac-Goriot"
"620","changent","PRES","Balzac-Goriot"
"621","les","le","Balzac-Goriot"
"622","conditions","NC","Balzac-Goriot"
"623","de","de","Balzac-Goriot"
"624","l’","NP","Balzac-Goriot"
"625","atmosphère","PRES","Balzac-Goriot"
"626","en","en","Balzac-Goriot"
"627","y","y","Balzac-Goriot"
"628","jetant","PPRES","Balzac-Goriot"
"629","de","de","Balzac-Goriot"
"630","les","le","Balzac-Goriot"
"631","tons","NC","Balzac-Goriot"
"632",",",",","Balzac-Goriot"
"633","en","en","Balzac-Goriot"
"634","y","y","Balzac-Goriot"
"635","assombrissant","PPRES","Balzac-Goriot"
"636","tout","tout","Balzac-Goriot"
"637","par","par","Balzac-Goriot"
"638","les","le","Balzac-Goriot"
"639","teintes","NC","Balzac-Goriot"
"640","sévères","ADJ","Balzac-Goriot"
"641","que","que","Balzac-Goriot"
"642","projettent","PRES","Balzac-Goriot"
"643","leurs","DETPOSS","Balzac-Goriot"
"644","coupoles","NC","Balzac-Goriot"
"645",".",".","Balzac-Goriot"
"646","Là","là","Balzac-Goriot"
"647",",",",","Balzac-Goriot"
"648","les","le","Balzac-Goriot"
"649","pavés","NC","Balzac-Goriot"
"650","sont","être","Balzac-Goriot"
"651","secs","ADJ","Balzac-Goriot"
"652",",",",","Balzac-Goriot"
"653","les","le","Balzac-Goriot"
"654","ruisseaux","NC","Balzac-Goriot"
"655","n’","NP","Balzac-Goriot"
"656","ont","avoir","Balzac-Goriot"
"657","ni","ni","Balzac-Goriot"
"658","boue","NC","Balzac-Goriot"
"659","ni","ni","Balzac-Goriot"
"660","eau","NC","Balzac-Goriot"
"661",",",",","Balzac-Goriot"
"662","l’","NP","Balzac-Goriot"
"663","herbe","NP","Balzac-Goriot"
"664","croît","PRES","Balzac-Goriot"
"665","le","le","Balzac-Goriot"
"666","long","NC","Balzac-Goriot"
"667","de","de","Balzac-Goriot"
"668","les","le","Balzac-Goriot"
"669","murs","NC","Balzac-Goriot"
"670","L’","NP","Balzac-Goriot"
"671","homme","PRES","Balzac-Goriot"
"672","le","le","Balzac-Goriot"
"673","plus","plus","Balzac-Goriot"
"674","insouciant","ADJ","Balzac-Goriot"
"675","s’","NP","Balzac-Goriot"
"676","y","y","Balzac-Goriot"
"677","attriste","PRES","Balzac-Goriot"
"678","comme","comme","Balzac-Goriot"
"679","tous","tout","Balzac-Goriot"
"680","les","le","Balzac-Goriot"
"681","passants","NC","Balzac-Goriot"
"682",",",",","Balzac-Goriot"
"683","le","le","Balzac-Goriot"
"684","bruit","NC","Balzac-Goriot"
"685","d’","NP","Balzac-Goriot"
"686","une","un","Balzac-Goriot"
"687","voiture","NC","Balzac-Goriot"
"688","y","y","Balzac-Goriot"
"689","devient","PRES","Balzac-Goriot"
"690","un","un","Balzac-Goriot"
"691","événement","NC","Balzac-Goriot"
"692",",",",","Balzac-Goriot"
"693","les","le","Balzac-Goriot"
"694","maisons","NC","Balzac-Goriot"
